Jobnumber;Name;Passwords;Gender;DateOfBirth;Phone;Email;RoleId
NBA001;Barkley   ;abc123&;F;09.12.1929;;;1
NBA002;Coleman   ;abc123&;M;25.07.1927;;;1
NBA003;Fellaini  ;abc123&;M;06.12.1911;;;1
NBA004;Stones    ;abc123&;M;14.09.1921;;;1
NBA005;Duffy     ;abc123&;M;07.01.1943;;;1
NBA006;McGinn    ;abc123&;M;01.02.1980;;;1
NBA007;Magennis  ;abc123&;M;16.02.1936;;;1
NBA008;de Gea    ;abc123&;M;01.01.1915;;;1
NBA009;Evra      ;abc123&;M;07.03.1974;;;1
NBA010;Evans     ;abc123&;M;21.11.1911;;;1
NBA011;Rooney    ;abc123&;F;03.07.1928;;;1
NBA012;Smalling  ;abc123&;F;02.11.1941;;;1
NBA013;Nani      ;abc123&;F;20.08.1980;;;1
NBA014;Gunter    ;abc123&;F;07.03.1911;;;1
NBA015;Schrrle   ;abc123&;F;27.02.1929;;;2
NBA016;Hazard    ;abc123&;F;08.02.1918;;;2
NBA017;Cahill    ;abc123&;F;06.01.1974;;;2
NBA019;Bertrand  ;abc123&;F;05.05.1959;;;2
NBA020;De Bruyne ;abc123&;F;13.03.1934;;;2
NBA021;Lukaku    ;abc123&;F;18.01.1917;;;2
NBA022;Henderson ;abc123&;F;06.04.1953;;;2
NBA023;Sturridge ;abc123&;F;27.11.1920;;;2
NBA024;Mignolet  ;abc123&;F;16.01.1932;;;2
NBA025;Allen     ;abc123&;F;11.09.1916;;;2
NBA026;Sterling  ;abc123&;F;13.12.1970;;;2
NBA027;krtel     ;abc123&;F;19.05.1927;;;2
NBA028;Ward      ;abc123&;F;11.06.1933;;;1
NBA029;Westwood  ;abc123&;F;26.07.1959;;;1
NBA030;OShea     ;abc123&;F;10.04.1916;;;1
